100	100	100
1
2	24	24	29	16704	1
2	20	15	13	3900	1
2	6	22	27	3564	1
2	2	22	30	1320	1
2	17	2	7	238	1
2	37	27	21	20979	1
2	2	6	27	324	1
2	14	42	25	14700	1
2	2	16	12	384	1
2	26	6	2	312	1
2	29	21	5	3045	1
2	2	12	35	840	1
2	50	13	2	1300	1
2	14	41	48	27552	1
2	4	35	24	3360	1
2	34	47	48	76704	1
2	43	35	26	39130	1
2	39	2	25	1950	1
2	7	14	27	2646	1
2	30	15	36	16200	1
2	50	19	40	38000	1
2	33	4	28	3696	1
2	15	45	34	22950	1
2	28	41	43	49364	1
2	18	50	44	39600	1
2	39	44	2	3432	1
2	26	39	48	48672	1
2	33	47	45	69795	1
2	29	1	33	957	1
2	12	45	29	15660	1
2	39	11	13	5577	1
2	16	14	18	4032	1
2	8	29	20	4640	1
2	29	47	6	8178	1
2	31	14	37	16058	1
2	30	19	29	16530	1
2	6	39	25	5850	1
2	23	49	30	33810	1
2	14	6	32	2688	1
2	21	50	27	28350	1
2	11	33	37	13431	1
2	33	32	36	38016	1
2	48	24	22	25344	1
2	38	18	36	24624	1
2	26	9	16	3744	1
2	46	30	3	4140	1
2	11	50	29	15950	1
2	23	22	44	22264	1
2	6	50	16	4800	1
2	39	38	22	32604	1
2	35	21	21	15435	1
2	42	50	39	81900	1
2	17	41	49	34153	1
2	24	25	48	28800	1
2	41	5	34	6970	1
2	13	4	22	1144	1
2	8	32	43	11008	1
2	28	17	4	1904	1
2	37	21	18	13986	1
2	40	16	21	13440	1
2	82	89	40	291920	1
2	85	69	35	205275	1
2	67	85	45	256275	1
2	87	89	43	332949	1
2	67	83	2	11122	1
2	78	80	46	287040	1
2	84	88	41	303072	1
2	70	98	5	34300	1
2	91	81	8	58968	1
2	75	71	31	165075	1
2	82	24	82	161376	1
2	72	10	82	59040	1
2	92	3	85	23460	1
2	82	13	73	77818	1
2	95	8	67	50920	1
2	96	4	97	37248	1
2	70	43	71	213710	1
2	88	4	81	28512	1
2	88	35	91	280280	1
2	79	27	85	181305	1
2	85	99	51	429165	1
2	56	58	50	162400	1
2	50	65	58	188500	1
2	50	50	50	125000	1
2	50	50	50	125000	1
2	56	62	50	173600	1
2	86	85	50	365500	1
2	65	59	50	191750	1
2	60	90	50	270000	1
2	73	71	50	259150	1
2	17	68	73	84388	1
2	3	98	70	20580	1
2	44	78	97	332904	1
2	42	89	95	355110	1
2	50	100	96	480000	1
2	13	70	84	76440	1
2	45	81	95	346275	1
2	26	71	75	138450	1
2	39	80	96	299520	1
2	30	69	69	142830	1
